PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,30/06/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,15/07/2021,,,,,1,6,61,1,123.54000,136.96001,136.96001,16058898,0.099109,136.92000,136.94000,16556942,1,1,136.96001,,30/06/2021,0.099109,0.023422,0.022021,0.021482,0.019631,0.022214
14593,30/07/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,23/09/2021,,,,,1,6,61,1,137.27000,149.14999,145.86000,19182583,0.064982,145.86000,145.92999,16530166,1,1,145.86000,,30/07/2021,0.064982,0.011828,0.010952,-0.033644,-0.034465,0.022748
14593,31/08/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,27/07/2021,,,,,12/08/2021,09/08/2021,0,,,1232,0.22000,0.00000,0.00000,,,,,,,,1,6,61,1,145.52000,153.12000,151.83000,14615956,0.042438,151.83000,151.86000,16530166,1,1,151.83000,,31/08/2021,0.040930,0.027146,0.025841,0.018892,0.017615,0.028990
14593,30/09/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,14/10/2021,,,,,1,6,61,1,141.50000,156.69000,141.50000,17967120,-0.068037,141.32001,141.35001,16426786,1,1,141.50000,,30/09/2021,-0.068037,-0.042243,-0.043531,-0.028472,-0.030084,-0.047569
14593,29/10/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,22/12/2021,,,,,1,6,61,1,139.14000,152.57001,149.80000,15637134,0.058657,149.77000,149.80000,16406397,1,1,149.80000,,29/10/2021,0.058657,0.064651,0.063760,0.026557,0.025517,0.069144
14593,30/11/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,28/10/2021,,,,,11/11/2021,08/11/2021,0,,,1232,0.22000,0.00000,0.00000,,,,,,,,1,6,61,1,147.87000,165.30000,165.30000,16900358,0.104940,165.42999,165.44000,16406397,1,1,165.30000,,30/11/2021,0.103471,-0.018350,-0.019707,-0.046540,-0.047915,-0.008334
14593,31/12/2021,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,13/01/2022,,,,,1,6,62,1,161.84000,180.33000,177.57001,24442196,0.074229,177.59000,177.62000,16344923,1,1,177.57001,,31/12/2021,0.074229,0.033341,0.031573,-0.001760,-0.004799,0.043613
14593,31/01/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,24/03/2022,,,,,1,6,61,1,159.22000,182.00999,174.78000,21083470,-0.015712,174.58000,174.89999,16319441,1,1,174.78000,,31/01/2022,-0.015712,-0.059822,-0.060568,-0.068191,-0.068869,-0.052585
14593,28/02/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,27/01/2022,,,,,10/02/2022,07/02/2022,0,,,1232,0.22000,0.00000,0.00000,,,,,,,,1,6,60,1,160.07001,176.28000,165.12000,16150782,-0.054011,165.10001,165.13000,16319441,1,1,165.12000,,28/02/2022,-0.055270,-0.021838,-0.023121,-0.007412,-0.008369,-0.031361
14593,31/03/2022,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,13/04/2022,,,,,1,6,60,1,150.62000,178.96001,174.61000,21788892,0.057473,174.67000,174.67999,16207568,1,1,174.61000,,31/03/2022,0.057473,0.030506,0.028940,0.015438,0.013759,0.035773
